start;open;high;low;close;volume;end;quote asset volume;number trades;taker buy base asset volume;taker buy quote asset volume
1639191600000;48249.98;48684.00;48158.56;48296.60;8144.150;1639195199999;394397726.14461;99915;4291.599;207871819.08877
1639195200000;48296.60;48600.00;48248.69;48518.93;4832.555;1639198799999;233940755.78900;64206;2388.208;115622268.19408
1639198800000;48518.93;48585.98;48210.02;48310.75;5000.619;1639202399999;242072796.51168;68654;2308.581;111749556.26269
1639202400000;48310.75;48893.08;48000.00;48038.72;13125.830;1639205999999;635316677.23408;143754;6454.080;312647618.77948
1639206000000;48038.71;48170.00;47758.89;48018.81;8382.971;1639209599999;402370089.63213;106423;4111.686;197406503.59434
1639209600000;48018.54;48915.27;47835.90;48389.20;18022.221;1639213199999;873191076.77730;186179;8983.327;435229231.84155
1639213200000;48389.20;48630.00;48121.00;48516.01;9199.469;1639216799999;444696662.27965;95596;4743.107;229345222.61468
1639216800000;48516.00;48580.83;48301.33;48379.32;4547.953;1639220399999;220324647.91456;66772;2058.812;99751904.26905
1639220400000;48379.99;48454.85;48150.00;48222.24;4850.113;1639223999999;234080700.55864;69992;2236.037;107937117.78262
1639224000000;48222.23;48564.41;48167.35;48494.73;5354.837;1639227599999;259250281.74982;79001;2851.263;138035504.21933
1639227600000;48494.73;48934.06;48200.01;48346.96;13294.448;1639231199999;644446467.20461;139974;6506.764;315586922.99062
1639231200000;48346.96;48551.91;48150.00;48451.85;7513.346;1639234799999;363171928.86865;86742;3566.997;172434412.88642
1639234800000;48451.88;48762.00;48410.70;48730.51;6770.062;1639238399999;328910238.95195;83172;3471.236;168657825.26021
1639238400000;48730.51;49285.51;48666.56;48984.36;15734.210;1639241999999;770957794.38423;198059;8046.815;394316635.13531
1639242000000;48984.35;49035.75;48555.01;48693.04;7848.885;1639245599999;383198230.12168;103252;3746.599;182948756.70997
1639245600000;48693.04;48860.00;48555.00;48660.93;5123.590;1639249199999;249539912.35098;72993;2843.346;138496415.03298
1639249200000;48660.92;48788.55;48370.00;48400.00;4459.163;1639252799999;216512877.31215;68292;2062.612;100168208.28673
1639252800000;48400.00;48737.00;48379.95;48559.18;4162.413;1639256399999;202117950.09155;61291;2312.007;112262107.95475
1639256400000;48559.18;48830.00;48386.49;48763.68;4470.819;1639259999999;217139381.57270;65833;2342.906;113836148.15748
1639260000000;48765.97;49149.96;48620.06;48811.10;6324.323;1639263599999;309168126.63724;77547;3401.306;166278710.24320
1639263600000;48813.12;49499.05;48779.35;49381.15;10715.498;1639267199999;527602511.40175;130792;5407.435;266266828.66671
1639267200000;49379.51;49684.55;49200.00;49309.61;9298.710;1639270799999;459533039.15063;118252;4734.018;234007748.75386
1639270800000;49309.61;49442.57;49055.00;49162.71;5112.107;1639274399999;251746489.03888;72717;2469.859;121637478.99232
1639274400000;49162.71;49350.00;49010.01;49040.36;4301.993;1639277999999;211539587.09263;58756;2276.880;111986111.08461
1639278000000;49040.37;49369.75;49026.71;49279.08;3277.743;1639281599999;161284549.83081;54724;1825.038;89801878.81216
